Date,State,Dead,Injured,Total,Description
29/09/2019,Kansas,0,4,4,Four people were wounded after an individual fired a shotgun towards a group of people at a house party.
29/09/2019,Florida,0,4,4,Four people were injured while attending a large party after an individual fired into the air.
29/09/2019,Wisconsin,0,4,4,Four young women were injured after an individual fired into a home were a house party was being held.
29/09/2019,Illinois,1,3,4,A man was killed and three injured after unknown individuals attempted to crash a house party and began shooting.
29/09/2019,Texas,4,0,4,Four men were shot and killed at an apartment complex after a disturbance between roommates escalated.
27/09/2019,Ohio,3,1,4,A man killed his mother then drove to a gas station where he attempted to kidnap a clerk then killed a man and injured the clerk before robbing another gas station and committing suicide.
24/09/2019,Illinois,1,3,4,A 17-year-old boy was killed and three adults were injured in the Lower West Side.
23/09/2019,Indiana,2,2,4,Two men were killed and a woman and man injured in an early morning shooting.
22/09/2019,Missouri,0,5,5,Five people were wounded at The SPOTT Lifestyle and Swingers Club.
21/09/2019,Louisiana,0,4,4,Four people were wounded after shot were fired into their car.
21/09/2019,Indiana,0,6,6,Three adults and three juveniles were injured after a fight escalated.
21/09/2019,South Carolina,2,8,10,"Ten people were shot, two fatally, during a bar fight that escalated."
21/09/2019,Indiana,1,3,4,A man was killed and three women injured in an early morning shooting.
20/09/2019,Louisiana,1,5,6,"Six people were shot, one fatally, at an intersection in the Mid-City Area."
19/09/2019,"Washington, D.C.",1,5,6,"A man was killed, and four others and a woman injured, in a possible drive-by in the Columbia Heights District."
18/09/2019,Illinois,3,1,4,Three men were killed and one injured after an argument about cigarettes escalated outside a West Garfield Park convenience store.
18/09/2019,California,2,2,4,"A man and woman were killed, and two other women injured, in the Wilmington neighborhood after an individual shot into a crowd of people."
16/09/2019,Wyoming,2,2,4,"Two adults killed, two juveniles injured in east Cheyenne shooting."
14/09/2019,Georgia,0,4,4,Four individuals were wounded after an individual opened fire.
14/09/2019,Missouri,2,2,4,"Responding police officers discovered a car covered in gunshots, and discovered a deceased male and two men and a female injured. One of the injured men later died."
